frameNum="0" vmaf="96.538814"
frameNum="10" vmaf="100.000000"
frameNum="20" vmaf="100.000000"
frameNum="30" vmaf="100.000000"
frameNum="40" vmaf="100.000000"
frameNum="50" vmaf="100.000000"
frameNum="60" vmaf="100.000000"
frameNum="70" vmaf="100.000000"
frameNum="80" vmaf="100.000000"
frameNum="90" vmaf="100.000000"
frameNum="100" vmaf="100.000000"
frameNum="110" vmaf="100.000000"
frameNum="120" vmaf="100.000000"
frameNum="130" vmaf="100.000000"
frameNum="140" vmaf="100.000000"
frameNum="150" vmaf="100.000000"
frameNum="160" vmaf="100.000000"
frameNum="170" vmaf="100.000000"
frameNum="180" vmaf="100.000000"
frameNum="190" vmaf="100.000000"
frameNum="200" vmaf="100.000000"
frameNum="210" vmaf="100.000000"
frameNum="220" vmaf="100.000000"
frameNum="230" vmaf="100.000000"
frameNum="240" vmaf="100.000000"
