frameNum="0" vmaf="95.399404"
frameNum="10" vmaf="100.000000"
frameNum="20" vmaf="99.145925"
frameNum="30" vmaf="97.880428"
frameNum="40" vmaf="97.765153"
frameNum="50" vmaf="97.619590"
frameNum="60" vmaf="97.223106"
frameNum="70" vmaf="96.643700"
frameNum="80" vmaf="95.956911"
frameNum="90" vmaf="99.786077"
frameNum="100" vmaf="97.580942"
frameNum="110" vmaf="95.989205"
frameNum="120" vmaf="94.991706"
frameNum="130" vmaf="95.275027"
frameNum="140" vmaf="94.830783"
frameNum="150" vmaf="93.254729"
frameNum="160" vmaf="92.364884"
frameNum="170" vmaf="93.377195"
frameNum="180" vmaf="83.327475"
frameNum="190" vmaf="86.493897"
frameNum="200" vmaf="90.584438"
frameNum="210" vmaf="91.623289"
frameNum="220" vmaf="90.840029"
frameNum="230" vmaf="91.059229"
frameNum="240" vmaf="91.443858"
frameNum="250" vmaf="94.251980"
frameNum="260" vmaf="91.166588"
frameNum="270" vmaf="91.169823"
frameNum="280" vmaf="91.431802"
frameNum="290" vmaf="91.354492"
frameNum="300" vmaf="92.744962"
frameNum="310" vmaf="92.959523"
frameNum="320" vmaf="93.010837"
frameNum="330" vmaf="93.455537"
frameNum="340" vmaf="93.029871"
frameNum="350" vmaf="93.214975"
frameNum="360" vmaf="93.366230"
frameNum="370" vmaf="93.005008"
frameNum="380" vmaf="93.133323"
frameNum="390" vmaf="93.780220"
frameNum="400" vmaf="93.426734"
frameNum="410" vmaf="93.101272"
frameNum="420" vmaf="93.485086"
frameNum="430" vmaf="93.429790"
frameNum="440" vmaf="93.453173"
frameNum="450" vmaf="93.596721"
frameNum="460" vmaf="93.018326"
frameNum="470" vmaf="95.928596"
frameNum="480" vmaf="92.800780"
frameNum="490" vmaf="92.416852"
frameNum="500" vmaf="91.912987"
frameNum="510" vmaf="93.051260"
frameNum="520" vmaf="93.305912"
frameNum="530" vmaf="93.112075"
frameNum="540" vmaf="92.372188"
frameNum="550" vmaf="92.104183"
frameNum="560" vmaf="93.032801"
frameNum="570" vmaf="93.246220"
frameNum="580" vmaf="92.675192"
frameNum="590" vmaf="94.164470"
