frameNum="0" vmaf="95.797609"
frameNum="10" vmaf="89.210100"
frameNum="20" vmaf="87.663704"
frameNum="30" vmaf="84.684335"
frameNum="40" vmaf="84.362426"
frameNum="50" vmaf="84.269259"
frameNum="60" vmaf="84.070422"
frameNum="70" vmaf="84.555409"
frameNum="80" vmaf="84.244143"
frameNum="90" vmaf="83.097971"
frameNum="100" vmaf="83.021406"
frameNum="110" vmaf="82.684043"
frameNum="120" vmaf="82.700653"
frameNum="130" vmaf="83.631684"
frameNum="140" vmaf="83.659326"
frameNum="150" vmaf="82.663811"
frameNum="160" vmaf="83.220458"
frameNum="170" vmaf="85.255505"
frameNum="180" vmaf="82.485804"
frameNum="190" vmaf="82.424203"
frameNum="200" vmaf="82.691579"
frameNum="210" vmaf="83.792055"
frameNum="220" vmaf="83.391429"
frameNum="230" vmaf="84.208571"
frameNum="240" vmaf="83.967553"
frameNum="250" vmaf="95.751117"
frameNum="260" vmaf="85.588110"
frameNum="270" vmaf="86.219320"
frameNum="280" vmaf="84.722538"
frameNum="290" vmaf="84.953018"
frameNum="300" vmaf="84.496038"
frameNum="310" vmaf="86.734010"
frameNum="320" vmaf="88.324643"
frameNum="330" vmaf="85.791843"
frameNum="340" vmaf="84.378374"
frameNum="350" vmaf="85.077169"
frameNum="360" vmaf="84.909243"
frameNum="370" vmaf="87.320613"
frameNum="380" vmaf="87.678285"
frameNum="390" vmaf="88.947891"
frameNum="400" vmaf="91.361075"
frameNum="410" vmaf="90.718813"
frameNum="420" vmaf="91.135950"
frameNum="430" vmaf="90.266753"
frameNum="440" vmaf="90.280967"
frameNum="450" vmaf="91.135460"
frameNum="460" vmaf="88.970371"
frameNum="470" vmaf="86.426334"
frameNum="480" vmaf="86.352278"
frameNum="490" vmaf="86.855895"
