frameNum="0" vmaf="97.048602"
frameNum="10" vmaf="98.162313"
frameNum="20" vmaf="92.685601"
frameNum="30" vmaf="92.015778"
frameNum="40" vmaf="92.796503"
frameNum="50" vmaf="89.535197"
frameNum="60" vmaf="90.717001"
frameNum="70" vmaf="91.630253"
frameNum="80" vmaf="92.380857"
frameNum="90" vmaf="95.614644"
frameNum="100" vmaf="92.942756"
frameNum="110" vmaf="90.276117"
frameNum="120" vmaf="90.224974"
frameNum="130" vmaf="91.524356"
frameNum="140" vmaf="91.538896"
frameNum="150" vmaf="89.921130"
frameNum="160" vmaf="91.940844"
frameNum="170" vmaf="97.874475"
frameNum="180" vmaf="92.481187"
frameNum="190" vmaf="90.423870"
frameNum="200" vmaf="91.682165"
frameNum="210" vmaf="90.389132"
frameNum="220" vmaf="89.401274"
frameNum="230" vmaf="91.144760"
frameNum="240" vmaf="90.800199"
frameNum="250" vmaf="94.959035"
frameNum="260" vmaf="92.802625"
frameNum="270" vmaf="91.130990"
frameNum="280" vmaf="89.951010"
frameNum="290" vmaf="88.993784"
