frameNum="0" vmaf="95.870139"
frameNum="10" vmaf="97.879454"
frameNum="20" vmaf="100.000000"
frameNum="30" vmaf="100.000000"
frameNum="40" vmaf="100.000000"
frameNum="50" vmaf="100.000000"
frameNum="60" vmaf="100.000000"
frameNum="70" vmaf="100.000000"
frameNum="80" vmaf="100.000000"
frameNum="90" vmaf="98.134488"
frameNum="100" vmaf="100.000000"
frameNum="110" vmaf="100.000000"
frameNum="120" vmaf="100.000000"
frameNum="130" vmaf="100.000000"
frameNum="140" vmaf="100.000000"
frameNum="150" vmaf="100.000000"
frameNum="160" vmaf="100.000000"
frameNum="170" vmaf="100.000000"
frameNum="180" vmaf="100.000000"
frameNum="190" vmaf="100.000000"
frameNum="200" vmaf="100.000000"
frameNum="210" vmaf="100.000000"
frameNum="220" vmaf="100.000000"
frameNum="230" vmaf="100.000000"
frameNum="240" vmaf="100.000000"
frameNum="250" vmaf="100.000000"
frameNum="260" vmaf="100.000000"
frameNum="270" vmaf="99.610877"
frameNum="280" vmaf="100.000000"
frameNum="290" vmaf="99.714693"
frameNum="300" vmaf="98.295006"
frameNum="310" vmaf="99.975081"
frameNum="320" vmaf="100.000000"
frameNum="330" vmaf="100.000000"
frameNum="340" vmaf="100.000000"
frameNum="350" vmaf="100.000000"
