frameNum="0" vmaf="96.183453"
frameNum="2" vmaf="95.315976"
frameNum="4" vmaf="95.360640"
frameNum="6" vmaf="95.526603"
frameNum="8" vmaf="95.387010"
frameNum="10" vmaf="95.268823"
frameNum="12" vmaf="95.278855"
frameNum="14" vmaf="95.956190"
frameNum="16" vmaf="95.352018"
frameNum="18" vmaf="95.966936"
frameNum="20" vmaf="95.383066"
frameNum="22" vmaf="95.912207"
frameNum="24" vmaf="95.903938"
frameNum="26" vmaf="95.919606"
frameNum="28" vmaf="96.008313"
frameNum="30" vmaf="96.060350"
frameNum="32" vmaf="95.964290"
frameNum="34" vmaf="95.993657"
frameNum="36" vmaf="95.925287"
frameNum="38" vmaf="96.016109"
frameNum="40" vmaf="96.097645"
frameNum="42" vmaf="95.527645"
frameNum="44" vmaf="95.563327"
frameNum="46" vmaf="95.546689"
frameNum="48" vmaf="96.141650"
frameNum="50" vmaf="96.212586"
frameNum="52" vmaf="95.615815"
frameNum="54" vmaf="95.773131"
frameNum="56" vmaf="95.644796"
frameNum="58" vmaf="96.210423"
frameNum="60" vmaf="96.472271"
frameNum="62" vmaf="95.920201"
frameNum="64" vmaf="95.981119"
frameNum="66" vmaf="96.617688"
frameNum="68" vmaf="96.229536"
frameNum="70" vmaf="96.532738"
frameNum="72" vmaf="96.859231"
frameNum="74" vmaf="96.999332"
frameNum="76" vmaf="95.417053"
frameNum="78" vmaf="95.338498"
frameNum="80" vmaf="95.493125"
frameNum="82" vmaf="96.301881"
frameNum="84" vmaf="96.399057"
frameNum="86" vmaf="96.642750"
frameNum="88" vmaf="96.865894"
frameNum="90" vmaf="96.894235"
frameNum="92" vmaf="96.344683"
frameNum="94" vmaf="96.910974"
frameNum="96" vmaf="97.259012"
frameNum="98" vmaf="97.556291"
frameNum="100" vmaf="97.721324"
frameNum="102" vmaf="98.003381"
frameNum="104" vmaf="97.256872"
frameNum="106" vmaf="97.500693"
frameNum="108" vmaf="97.349033"
frameNum="110" vmaf="96.721389"
frameNum="112" vmaf="97.305259"
frameNum="114" vmaf="96.879356"
frameNum="116" vmaf="97.289482"
frameNum="118" vmaf="97.293604"
frameNum="120" vmaf="96.909618"
frameNum="122" vmaf="96.881180"
frameNum="124" vmaf="97.202061"
frameNum="126" vmaf="97.125311"
frameNum="128" vmaf="96.537443"
frameNum="130" vmaf="96.673499"
frameNum="132" vmaf="96.659703"
frameNum="134" vmaf="96.544668"
frameNum="136" vmaf="95.969141"
frameNum="138" vmaf="96.457651"
frameNum="140" vmaf="96.380567"
frameNum="142" vmaf="96.514004"
frameNum="144" vmaf="95.916262"
frameNum="146" vmaf="95.237800"
frameNum="148" vmaf="96.070504"
frameNum="150" vmaf="95.504127"
frameNum="152" vmaf="96.057561"
frameNum="154" vmaf="96.036341"
frameNum="156" vmaf="96.261900"
frameNum="158" vmaf="96.878709"
frameNum="160" vmaf="96.959139"
frameNum="162" vmaf="96.812981"
frameNum="164" vmaf="96.438586"
frameNum="166" vmaf="96.430284"
frameNum="168" vmaf="96.558751"
frameNum="170" vmaf="96.955019"
frameNum="172" vmaf="97.128060"
frameNum="174" vmaf="96.686486"
frameNum="176" vmaf="96.701474"
frameNum="178" vmaf="96.886242"
frameNum="180" vmaf="97.178160"
frameNum="182" vmaf="97.173062"
frameNum="184" vmaf="97.762176"
frameNum="186" vmaf="97.858147"
frameNum="188" vmaf="97.740805"
frameNum="190" vmaf="97.567091"
frameNum="192" vmaf="97.220494"
frameNum="194" vmaf="98.087413"
frameNum="196" vmaf="98.506521"
frameNum="198" vmaf="98.456628"
frameNum="200" vmaf="94.975238"
frameNum="202" vmaf="95.885730"
frameNum="204" vmaf="95.817356"
frameNum="206" vmaf="95.722907"
frameNum="208" vmaf="95.811287"
frameNum="210" vmaf="95.867318"
frameNum="212" vmaf="95.872910"
frameNum="214" vmaf="96.018014"
frameNum="216" vmaf="95.918952"
frameNum="218" vmaf="95.839581"
frameNum="220" vmaf="95.951721"
frameNum="222" vmaf="95.923016"
frameNum="224" vmaf="95.921276"
frameNum="226" vmaf="96.044063"
frameNum="228" vmaf="95.940016"
frameNum="230" vmaf="96.020201"
frameNum="232" vmaf="96.020025"
frameNum="234" vmaf="95.970095"
frameNum="236" vmaf="95.837226"
frameNum="238" vmaf="95.964961"
