frameNum="0" vmaf="96.638170"
frameNum="2" vmaf="97.805731"
frameNum="4" vmaf="95.630494"
frameNum="6" vmaf="93.990363"
frameNum="8" vmaf="93.116104"
frameNum="10" vmaf="93.280407"
frameNum="12" vmaf="90.311367"
frameNum="14" vmaf="91.921415"
frameNum="16" vmaf="90.450189"
frameNum="18" vmaf="90.307055"
frameNum="20" vmaf="87.783264"
frameNum="22" vmaf="87.840800"
frameNum="24" vmaf="87.899349"
frameNum="26" vmaf="85.160020"
frameNum="28" vmaf="84.578021"
frameNum="30" vmaf="84.325812"
frameNum="32" vmaf="82.195395"
frameNum="34" vmaf="82.139967"
frameNum="36" vmaf="83.471096"
frameNum="38" vmaf="84.307265"
frameNum="40" vmaf="84.791319"
frameNum="42" vmaf="82.165252"
frameNum="44" vmaf="81.457309"
frameNum="46" vmaf="81.368190"
frameNum="48" vmaf="82.269650"
frameNum="50" vmaf="84.343872"
frameNum="52" vmaf="81.519836"
frameNum="54" vmaf="81.993908"
frameNum="56" vmaf="82.196160"
frameNum="58" vmaf="84.869643"
frameNum="60" vmaf="82.422817"
frameNum="62" vmaf="81.983249"
frameNum="64" vmaf="85.556204"
frameNum="66" vmaf="85.413771"
frameNum="68" vmaf="82.543433"
frameNum="70" vmaf="82.598687"
frameNum="72" vmaf="83.182872"
frameNum="74" vmaf="83.007197"
frameNum="76" vmaf="81.538512"
frameNum="78" vmaf="81.753010"
frameNum="80" vmaf="81.103727"
frameNum="82" vmaf="84.784969"
frameNum="84" vmaf="84.428745"
frameNum="86" vmaf="80.869205"
frameNum="88" vmaf="80.814011"
frameNum="90" vmaf="86.391431"
frameNum="92" vmaf="81.769424"
frameNum="94" vmaf="81.844923"
frameNum="96" vmaf="84.537792"
frameNum="98" vmaf="84.948642"
frameNum="100" vmaf="85.612225"
frameNum="102" vmaf="85.383625"
frameNum="104" vmaf="82.104052"
frameNum="106" vmaf="84.457646"
frameNum="108" vmaf="84.720817"
frameNum="110" vmaf="83.147656"
frameNum="112" vmaf="84.557403"
frameNum="114" vmaf="84.923465"
frameNum="116" vmaf="85.423008"
frameNum="118" vmaf="86.377875"
frameNum="120" vmaf="86.197776"
frameNum="122" vmaf="85.386133"
frameNum="124" vmaf="84.727858"
frameNum="126" vmaf="83.822797"
frameNum="128" vmaf="83.737753"
frameNum="130" vmaf="85.166676"
frameNum="132" vmaf="86.870359"
frameNum="134" vmaf="85.768122"
frameNum="136" vmaf="85.775855"
frameNum="138" vmaf="77.497178"
frameNum="140" vmaf="100.000000"
frameNum="142" vmaf="100.000000"
frameNum="144" vmaf="100.000000"
frameNum="146" vmaf="100.000000"
frameNum="148" vmaf="100.000000"
frameNum="150" vmaf="100.000000"
frameNum="152" vmaf="100.000000"
frameNum="154" vmaf="97.579238"
frameNum="156" vmaf="96.349342"
frameNum="158" vmaf="93.633009"
frameNum="160" vmaf="88.641672"
frameNum="162" vmaf="87.027713"
frameNum="164" vmaf="88.311400"
frameNum="166" vmaf="79.492844"
frameNum="168" vmaf="76.764327"
frameNum="170" vmaf="75.211593"
frameNum="172" vmaf="74.776767"
frameNum="174" vmaf="72.634052"
frameNum="176" vmaf="72.534505"
frameNum="178" vmaf="71.563454"
frameNum="180" vmaf="74.173087"
frameNum="182" vmaf="74.028732"
frameNum="184" vmaf="73.775669"
frameNum="186" vmaf="74.996357"
frameNum="188" vmaf="74.779889"
frameNum="190" vmaf="74.390441"
frameNum="192" vmaf="73.778023"
frameNum="194" vmaf="75.467780"
frameNum="196" vmaf="75.062337"
frameNum="198" vmaf="76.409590"
frameNum="200" vmaf="79.470643"
frameNum="202" vmaf="79.694288"
frameNum="204" vmaf="81.144680"
frameNum="206" vmaf="80.439615"
frameNum="208" vmaf="81.124368"
frameNum="210" vmaf="82.844854"
frameNum="212" vmaf="82.437268"
frameNum="214" vmaf="81.992490"
frameNum="216" vmaf="79.259966"
frameNum="218" vmaf="80.445579"
frameNum="220" vmaf="79.981854"
frameNum="222" vmaf="79.413021"
frameNum="224" vmaf="82.408825"
frameNum="226" vmaf="80.978628"
frameNum="228" vmaf="83.240848"
frameNum="230" vmaf="82.566328"
frameNum="232" vmaf="82.531791"
frameNum="234" vmaf="81.781508"
frameNum="236" vmaf="81.413415"
frameNum="238" vmaf="81.163289"
frameNum="240" vmaf="79.711810"
frameNum="242" vmaf="86.813658"
frameNum="244" vmaf="87.450862"
frameNum="246" vmaf="85.343041"
frameNum="248" vmaf="85.426162"
