frameNum="0" vmaf="96.606327"
frameNum="2" vmaf="98.291175"
frameNum="4" vmaf="98.617684"
frameNum="6" vmaf="98.470729"
frameNum="8" vmaf="98.135306"
frameNum="10" vmaf="97.878877"
frameNum="12" vmaf="97.848457"
frameNum="14" vmaf="97.779912"
frameNum="16" vmaf="97.571574"
frameNum="18" vmaf="97.630323"
frameNum="20" vmaf="97.716074"
frameNum="22" vmaf="97.653593"
frameNum="24" vmaf="97.758489"
frameNum="26" vmaf="97.705681"
frameNum="28" vmaf="97.542026"
frameNum="30" vmaf="97.551105"
frameNum="32" vmaf="97.713857"
frameNum="34" vmaf="97.598964"
frameNum="36" vmaf="97.628741"
frameNum="38" vmaf="97.563583"
frameNum="40" vmaf="97.471033"
frameNum="42" vmaf="97.465069"
frameNum="44" vmaf="97.508429"
frameNum="46" vmaf="97.544579"
frameNum="48" vmaf="97.601336"
frameNum="50" vmaf="97.604641"
frameNum="52" vmaf="97.634357"
frameNum="54" vmaf="97.624281"
frameNum="56" vmaf="97.643009"
frameNum="58" vmaf="97.682810"
frameNum="60" vmaf="97.607779"
frameNum="62" vmaf="97.680098"
frameNum="64" vmaf="97.630985"
frameNum="66" vmaf="97.504625"
frameNum="68" vmaf="97.638660"
frameNum="70" vmaf="97.653155"
frameNum="72" vmaf="97.556889"
frameNum="74" vmaf="97.465856"
frameNum="76" vmaf="97.620045"
frameNum="78" vmaf="97.663827"
frameNum="80" vmaf="97.619246"
frameNum="82" vmaf="97.500231"
frameNum="84" vmaf="97.568165"
frameNum="86" vmaf="97.659280"
frameNum="88" vmaf="97.742246"
frameNum="90" vmaf="97.630298"
frameNum="92" vmaf="97.535571"
frameNum="94" vmaf="97.647387"
frameNum="96" vmaf="97.644584"
frameNum="98" vmaf="97.483905"
frameNum="100" vmaf="97.654380"
frameNum="102" vmaf="97.482790"
frameNum="104" vmaf="97.407030"
frameNum="106" vmaf="97.428156"
frameNum="108" vmaf="97.547397"
frameNum="110" vmaf="97.299559"
frameNum="112" vmaf="97.631016"
frameNum="114" vmaf="97.822546"
frameNum="116" vmaf="97.635875"
frameNum="118" vmaf="97.802497"
frameNum="120" vmaf="97.906399"
frameNum="122" vmaf="97.590474"
frameNum="124" vmaf="97.400386"
frameNum="126" vmaf="97.528154"
frameNum="128" vmaf="97.508671"
frameNum="130" vmaf="97.402894"
frameNum="132" vmaf="97.592881"
frameNum="134" vmaf="97.950996"
frameNum="136" vmaf="97.816156"
frameNum="138" vmaf="97.941942"
frameNum="140" vmaf="97.945238"
frameNum="142" vmaf="97.939716"
frameNum="144" vmaf="98.279029"
frameNum="146" vmaf="98.271546"
frameNum="148" vmaf="98.335062"
frameNum="150" vmaf="98.286418"
frameNum="152" vmaf="97.853520"
frameNum="154" vmaf="97.860600"
frameNum="156" vmaf="97.835321"
frameNum="158" vmaf="97.521391"
frameNum="160" vmaf="97.741240"
frameNum="162" vmaf="97.779907"
frameNum="164" vmaf="97.699177"
frameNum="166" vmaf="98.060518"
frameNum="168" vmaf="98.096419"
frameNum="170" vmaf="98.183331"
frameNum="172" vmaf="98.345820"
frameNum="174" vmaf="98.325172"
frameNum="176" vmaf="98.822710"
frameNum="178" vmaf="98.993668"
frameNum="180" vmaf="98.914079"
frameNum="182" vmaf="98.389893"
frameNum="184" vmaf="98.758641"
frameNum="186" vmaf="98.491035"
frameNum="188" vmaf="98.592947"
frameNum="190" vmaf="98.420926"
frameNum="192" vmaf="98.703965"
frameNum="194" vmaf="98.530352"
frameNum="196" vmaf="98.329683"
frameNum="198" vmaf="98.273045"
frameNum="200" vmaf="98.146806"
frameNum="202" vmaf="98.187720"
frameNum="204" vmaf="98.185612"
frameNum="206" vmaf="98.890461"
frameNum="208" vmaf="99.767951"
frameNum="210" vmaf="99.583416"
frameNum="212" vmaf="98.891128"
frameNum="214" vmaf="98.414050"
frameNum="216" vmaf="98.399841"
frameNum="218" vmaf="98.158496"
frameNum="220" vmaf="97.868800"
frameNum="222" vmaf="97.564969"
frameNum="224" vmaf="97.590413"
frameNum="226" vmaf="97.556075"
frameNum="228" vmaf="97.134821"
frameNum="230" vmaf="96.919237"
frameNum="232" vmaf="96.665293"
frameNum="234" vmaf="96.676255"
frameNum="236" vmaf="96.839200"
frameNum="238" vmaf="96.942635"
frameNum="240" vmaf="97.561824"
frameNum="242" vmaf="97.595398"
frameNum="244" vmaf="97.343400"
frameNum="246" vmaf="97.254642"
frameNum="248" vmaf="97.447443"
