frameNum="0" vmaf="96.727161"
frameNum="2" vmaf="97.740494"
frameNum="4" vmaf="97.659102"
frameNum="6" vmaf="97.946425"
frameNum="8" vmaf="98.339461"
frameNum="10" vmaf="98.261372"
frameNum="12" vmaf="98.472308"
frameNum="14" vmaf="99.789376"
frameNum="16" vmaf="99.266917"
frameNum="18" vmaf="99.822595"
frameNum="20" vmaf="100.000000"
frameNum="22" vmaf="100.000000"
frameNum="24" vmaf="100.000000"
frameNum="26" vmaf="100.000000"
frameNum="28" vmaf="100.000000"
frameNum="30" vmaf="99.634008"
frameNum="32" vmaf="99.424360"
frameNum="34" vmaf="98.989274"
frameNum="36" vmaf="98.659976"
frameNum="38" vmaf="97.931484"
frameNum="40" vmaf="97.553627"
frameNum="42" vmaf="98.586932"
frameNum="44" vmaf="99.991785"
frameNum="46" vmaf="100.000000"
frameNum="48" vmaf="98.293681"
frameNum="50" vmaf="99.079046"
frameNum="52" vmaf="99.102133"
frameNum="54" vmaf="99.563994"
frameNum="56" vmaf="98.732559"
frameNum="58" vmaf="98.067320"
frameNum="60" vmaf="100.000000"
frameNum="62" vmaf="100.000000"
frameNum="64" vmaf="99.264866"
frameNum="66" vmaf="99.548673"
frameNum="68" vmaf="100.000000"
frameNum="70" vmaf="100.000000"
frameNum="72" vmaf="99.780738"
frameNum="74" vmaf="99.580602"
frameNum="76" vmaf="98.965379"
frameNum="78" vmaf="99.386629"
frameNum="80" vmaf="99.863018"
frameNum="82" vmaf="99.220065"
frameNum="84" vmaf="99.845872"
frameNum="86" vmaf="100.000000"
frameNum="88" vmaf="100.000000"
frameNum="90" vmaf="100.000000"
frameNum="92" vmaf="100.000000"
frameNum="94" vmaf="100.000000"
frameNum="96" vmaf="100.000000"
frameNum="98" vmaf="100.000000"
frameNum="100" vmaf="100.000000"
frameNum="102" vmaf="100.000000"
frameNum="104" vmaf="100.000000"
frameNum="106" vmaf="100.000000"
frameNum="108" vmaf="100.000000"
frameNum="110" vmaf="100.000000"
frameNum="112" vmaf="100.000000"
frameNum="114" vmaf="100.000000"
frameNum="116" vmaf="100.000000"
frameNum="118" vmaf="100.000000"
frameNum="120" vmaf="100.000000"
frameNum="122" vmaf="100.000000"
frameNum="124" vmaf="100.000000"
frameNum="126" vmaf="100.000000"
frameNum="128" vmaf="100.000000"
frameNum="130" vmaf="100.000000"
frameNum="132" vmaf="100.000000"
frameNum="134" vmaf="100.000000"
frameNum="136" vmaf="100.000000"
frameNum="138" vmaf="100.000000"
frameNum="140" vmaf="100.000000"
frameNum="142" vmaf="100.000000"
frameNum="144" vmaf="100.000000"
frameNum="146" vmaf="100.000000"
frameNum="148" vmaf="100.000000"
frameNum="150" vmaf="100.000000"
frameNum="152" vmaf="100.000000"
frameNum="154" vmaf="100.000000"
frameNum="156" vmaf="100.000000"
frameNum="158" vmaf="100.000000"
frameNum="160" vmaf="100.000000"
frameNum="162" vmaf="99.230753"
frameNum="164" vmaf="100.000000"
frameNum="166" vmaf="100.000000"
frameNum="168" vmaf="100.000000"
frameNum="170" vmaf="100.000000"
frameNum="172" vmaf="100.000000"
frameNum="174" vmaf="99.224857"
frameNum="176" vmaf="100.000000"
frameNum="178" vmaf="100.000000"
frameNum="180" vmaf="93.387509"
frameNum="182" vmaf="100.000000"
frameNum="184" vmaf="100.000000"
frameNum="186" vmaf="93.150572"
frameNum="188" vmaf="100.000000"
frameNum="190" vmaf="93.334695"
frameNum="192" vmaf="100.000000"
frameNum="194" vmaf="100.000000"
frameNum="196" vmaf="94.268640"
frameNum="198" vmaf="100.000000"
frameNum="200" vmaf="93.983851"
frameNum="202" vmaf="100.000000"
frameNum="204" vmaf="100.000000"
frameNum="206" vmaf="93.485738"
frameNum="208" vmaf="100.000000"
frameNum="210" vmaf="94.150263"
frameNum="212" vmaf="100.000000"
frameNum="214" vmaf="100.000000"
frameNum="216" vmaf="93.593013"
frameNum="218" vmaf="100.000000"
frameNum="220" vmaf="94.691941"
frameNum="222" vmaf="100.000000"
frameNum="224" vmaf="100.000000"
frameNum="226" vmaf="94.052039"
frameNum="228" vmaf="100.000000"
frameNum="230" vmaf="94.545241"
frameNum="232" vmaf="100.000000"
frameNum="234" vmaf="99.774920"
frameNum="236" vmaf="94.575435"
frameNum="238" vmaf="100.000000"
frameNum="240" vmaf="94.904802"
frameNum="242" vmaf="100.000000"
frameNum="244" vmaf="100.000000"
frameNum="246" vmaf="94.619822"
frameNum="248" vmaf="100.000000"
frameNum="250" vmaf="95.389875"
frameNum="252" vmaf="100.000000"
frameNum="254" vmaf="100.000000"
frameNum="256" vmaf="94.597588"
frameNum="258" vmaf="98.664785"
frameNum="260" vmaf="94.580432"
frameNum="262" vmaf="97.873409"
frameNum="264" vmaf="97.960110"
frameNum="266" vmaf="94.533327"
frameNum="268" vmaf="97.893768"
frameNum="270" vmaf="95.176720"
frameNum="272" vmaf="99.042532"
frameNum="274" vmaf="100.000000"
frameNum="276" vmaf="95.017252"
frameNum="278" vmaf="100.000000"
frameNum="280" vmaf="94.760131"
frameNum="282" vmaf="100.000000"
frameNum="284" vmaf="100.000000"
frameNum="286" vmaf="94.602030"
frameNum="288" vmaf="99.819695"
frameNum="290" vmaf="94.498347"
frameNum="292" vmaf="100.000000"
frameNum="294" vmaf="100.000000"
frameNum="296" vmaf="100.000000"
frameNum="298" vmaf="100.000000"
