frameNum="0" vmaf="95.501641"
frameNum="2" vmaf="98.354822"
frameNum="4" vmaf="100.000000"
frameNum="6" vmaf="100.000000"
frameNum="8" vmaf="97.085862"
frameNum="10" vmaf="94.808218"
frameNum="12" vmaf="89.716285"
frameNum="14" vmaf="92.782353"
frameNum="16" vmaf="96.213493"
frameNum="18" vmaf="96.538012"
frameNum="20" vmaf="100.000000"
frameNum="22" vmaf="94.000132"
frameNum="24" vmaf="93.648938"
frameNum="26" vmaf="94.595399"
frameNum="28" vmaf="95.327689"
frameNum="30" vmaf="90.444232"
frameNum="32" vmaf="94.217754"
frameNum="34" vmaf="89.671653"
frameNum="36" vmaf="90.804738"
frameNum="38" vmaf="94.760647"
frameNum="40" vmaf="92.993907"
frameNum="42" vmaf="93.524433"
frameNum="44" vmaf="91.712491"
frameNum="46" vmaf="91.264912"
frameNum="48" vmaf="90.004818"
frameNum="50" vmaf="92.266721"
frameNum="52" vmaf="92.872913"
frameNum="54" vmaf="87.922087"
frameNum="56" vmaf="91.212530"
frameNum="58" vmaf="90.709355"
frameNum="60" vmaf="90.923239"
frameNum="62" vmaf="90.797860"
frameNum="64" vmaf="88.615094"
frameNum="66" vmaf="88.632346"
frameNum="68" vmaf="90.458724"
frameNum="70" vmaf="88.994663"
frameNum="72" vmaf="87.790872"
frameNum="74" vmaf="89.858742"
frameNum="76" vmaf="88.482582"
frameNum="78" vmaf="88.469744"
frameNum="80" vmaf="88.732924"
frameNum="82" vmaf="89.377156"
frameNum="84" vmaf="89.962298"
frameNum="86" vmaf="91.057200"
frameNum="88" vmaf="92.326467"
frameNum="90" vmaf="92.782608"
frameNum="92" vmaf="89.201202"
frameNum="94" vmaf="89.546927"
frameNum="96" vmaf="91.156463"
frameNum="98" vmaf="88.524566"
frameNum="100" vmaf="87.226652"
frameNum="102" vmaf="87.992230"
frameNum="104" vmaf="89.503057"
frameNum="106" vmaf="91.345818"
frameNum="108" vmaf="91.008369"
frameNum="110" vmaf="88.865586"
frameNum="112" vmaf="92.185900"
frameNum="114" vmaf="93.449469"
frameNum="116" vmaf="92.687693"
frameNum="118" vmaf="87.518570"
frameNum="120" vmaf="86.584929"
frameNum="122" vmaf="86.361091"
frameNum="124" vmaf="88.263515"
frameNum="126" vmaf="88.126998"
frameNum="128" vmaf="92.013016"
frameNum="130" vmaf="91.417616"
frameNum="132" vmaf="90.018021"
frameNum="134" vmaf="86.453596"
frameNum="136" vmaf="89.094971"
frameNum="138" vmaf="85.504898"
frameNum="140" vmaf="86.574044"
frameNum="142" vmaf="84.008514"
frameNum="144" vmaf="86.117762"
frameNum="146" vmaf="85.200301"
frameNum="148" vmaf="88.937748"
frameNum="150" vmaf="87.849856"
frameNum="152" vmaf="85.379712"
frameNum="154" vmaf="84.196648"
frameNum="156" vmaf="86.519956"
frameNum="158" vmaf="88.079974"
frameNum="160" vmaf="81.787917"
frameNum="162" vmaf="85.473744"
frameNum="164" vmaf="89.401960"
frameNum="166" vmaf="90.470437"
frameNum="168" vmaf="91.639012"
frameNum="170" vmaf="83.471091"
frameNum="172" vmaf="88.690480"
frameNum="174" vmaf="88.729008"
frameNum="176" vmaf="86.646167"
frameNum="178" vmaf="85.867709"
frameNum="180" vmaf="88.066499"
frameNum="182" vmaf="85.421499"
frameNum="184" vmaf="87.481272"
frameNum="186" vmaf="90.585472"
frameNum="188" vmaf="87.527899"
frameNum="190" vmaf="83.498581"
frameNum="192" vmaf="83.873974"
frameNum="194" vmaf="91.221184"
frameNum="196" vmaf="85.645366"
frameNum="198" vmaf="80.537251"
frameNum="200" vmaf="84.424569"
frameNum="202" vmaf="84.748513"
frameNum="204" vmaf="89.621399"
frameNum="206" vmaf="86.448712"
frameNum="208" vmaf="89.200551"
frameNum="210" vmaf="89.228319"
frameNum="212" vmaf="88.887312"
frameNum="214" vmaf="83.251372"
frameNum="216" vmaf="89.432662"
frameNum="218" vmaf="86.247427"
frameNum="220" vmaf="84.925367"
frameNum="222" vmaf="88.689287"
frameNum="224" vmaf="80.928858"
frameNum="226" vmaf="84.059194"
frameNum="228" vmaf="86.066728"
frameNum="230" vmaf="89.768880"
frameNum="232" vmaf="89.977931"
frameNum="234" vmaf="86.236412"
frameNum="236" vmaf="86.564321"
frameNum="238" vmaf="86.556836"
frameNum="240" vmaf="86.906365"
frameNum="242" vmaf="83.461567"
frameNum="244" vmaf="86.300856"
frameNum="246" vmaf="83.742289"
frameNum="248" vmaf="81.714893"
frameNum="250" vmaf="90.744630"
frameNum="252" vmaf="84.402868"
frameNum="254" vmaf="85.077879"
frameNum="256" vmaf="83.245678"
frameNum="258" vmaf="78.563877"
frameNum="260" vmaf="78.581154"
frameNum="262" vmaf="78.284995"
frameNum="264" vmaf="79.330399"
frameNum="266" vmaf="79.785047"
frameNum="268" vmaf="79.520257"
frameNum="270" vmaf="83.665975"
frameNum="272" vmaf="81.740797"
frameNum="274" vmaf="82.708575"
frameNum="276" vmaf="82.979444"
frameNum="278" vmaf="86.600134"
frameNum="280" vmaf="85.624661"
frameNum="282" vmaf="85.982628"
frameNum="284" vmaf="83.436922"
frameNum="286" vmaf="87.922491"
frameNum="288" vmaf="85.242732"
frameNum="290" vmaf="86.418594"
frameNum="292" vmaf="83.167161"
frameNum="294" vmaf="85.131785"
frameNum="296" vmaf="87.348054"
frameNum="298" vmaf="80.693220"
