frameNum="0" vmaf="97.099318"
frameNum="2" vmaf="98.705915"
frameNum="4" vmaf="98.455617"
frameNum="6" vmaf="98.342224"
frameNum="8" vmaf="98.710806"
frameNum="10" vmaf="98.805557"
frameNum="12" vmaf="98.716576"
frameNum="14" vmaf="98.672124"
frameNum="16" vmaf="98.713155"
frameNum="18" vmaf="98.902161"
frameNum="20" vmaf="98.837964"
frameNum="22" vmaf="98.596573"
frameNum="24" vmaf="98.572729"
frameNum="26" vmaf="98.603118"
frameNum="28" vmaf="98.337321"
frameNum="30" vmaf="98.307332"
frameNum="32" vmaf="98.195332"
frameNum="34" vmaf="98.253627"
frameNum="36" vmaf="98.726260"
frameNum="38" vmaf="98.486435"
frameNum="40" vmaf="97.009888"
frameNum="42" vmaf="98.379561"
frameNum="44" vmaf="98.676949"
frameNum="46" vmaf="98.204553"
frameNum="48" vmaf="98.480267"
frameNum="50" vmaf="98.260863"
frameNum="52" vmaf="99.125866"
frameNum="54" vmaf="99.044503"
frameNum="56" vmaf="99.095941"
frameNum="58" vmaf="100.000000"
frameNum="60" vmaf="100.000000"
frameNum="62" vmaf="100.000000"
frameNum="64" vmaf="100.000000"
frameNum="66" vmaf="100.000000"
frameNum="68" vmaf="100.000000"
frameNum="70" vmaf="100.000000"
frameNum="72" vmaf="100.000000"
frameNum="74" vmaf="100.000000"
frameNum="76" vmaf="100.000000"
frameNum="78" vmaf="100.000000"
frameNum="80" vmaf="100.000000"
frameNum="82" vmaf="100.000000"
frameNum="84" vmaf="100.000000"
frameNum="86" vmaf="100.000000"
frameNum="88" vmaf="100.000000"
frameNum="90" vmaf="100.000000"
frameNum="92" vmaf="100.000000"
frameNum="94" vmaf="100.000000"
frameNum="96" vmaf="99.398999"
frameNum="98" vmaf="99.168698"
frameNum="100" vmaf="99.045833"
frameNum="102" vmaf="99.408561"
frameNum="104" vmaf="100.000000"
frameNum="106" vmaf="100.000000"
frameNum="108" vmaf="100.000000"
frameNum="110" vmaf="100.000000"
frameNum="112" vmaf="100.000000"
frameNum="114" vmaf="97.166237"
frameNum="116" vmaf="97.462611"
frameNum="118" vmaf="97.864523"
frameNum="120" vmaf="98.025686"
frameNum="122" vmaf="98.461495"
frameNum="124" vmaf="98.596559"
frameNum="126" vmaf="98.920613"
frameNum="128" vmaf="98.908212"
frameNum="130" vmaf="98.944162"
frameNum="132" vmaf="99.059116"
frameNum="134" vmaf="98.811424"
frameNum="136" vmaf="98.530288"
frameNum="138" vmaf="98.501930"
frameNum="140" vmaf="98.859170"
frameNum="142" vmaf="98.757784"
frameNum="144" vmaf="98.847051"
frameNum="146" vmaf="98.841391"
frameNum="148" vmaf="98.833991"
frameNum="150" vmaf="98.567016"
frameNum="152" vmaf="98.230760"
frameNum="154" vmaf="98.123516"
frameNum="156" vmaf="97.995218"
frameNum="158" vmaf="98.014769"
frameNum="160" vmaf="97.842304"
frameNum="162" vmaf="97.920099"
frameNum="164" vmaf="97.901165"
frameNum="166" vmaf="97.978699"
frameNum="168" vmaf="98.109302"
frameNum="170" vmaf="98.221339"
frameNum="172" vmaf="97.949913"
frameNum="174" vmaf="97.741113"
frameNum="176" vmaf="97.745873"
frameNum="178" vmaf="97.983408"
frameNum="180" vmaf="97.768332"
frameNum="182" vmaf="97.694796"
frameNum="184" vmaf="97.620484"
frameNum="186" vmaf="97.601144"
frameNum="188" vmaf="97.634650"
frameNum="190" vmaf="97.572662"
frameNum="192" vmaf="97.601568"
frameNum="194" vmaf="97.602367"
frameNum="196" vmaf="97.628396"
frameNum="198" vmaf="97.602881"
frameNum="200" vmaf="97.596025"
frameNum="202" vmaf="97.531960"
frameNum="204" vmaf="97.586235"
frameNum="206" vmaf="97.695947"
frameNum="208" vmaf="97.807720"
frameNum="210" vmaf="97.649447"
frameNum="212" vmaf="97.559556"
frameNum="214" vmaf="97.541257"
frameNum="216" vmaf="97.539950"
frameNum="218" vmaf="97.544301"
frameNum="220" vmaf="97.648130"
frameNum="222" vmaf="97.615135"
frameNum="224" vmaf="97.546394"
frameNum="226" vmaf="97.579699"
frameNum="228" vmaf="97.612824"
frameNum="230" vmaf="97.706319"
frameNum="232" vmaf="98.021273"
frameNum="234" vmaf="98.149603"
frameNum="236" vmaf="97.763187"
frameNum="238" vmaf="97.747094"
frameNum="240" vmaf="97.646165"
frameNum="242" vmaf="97.755151"
frameNum="244" vmaf="97.934324"
frameNum="246" vmaf="97.912836"
frameNum="248" vmaf="97.707381"
frameNum="250" vmaf="97.742481"
frameNum="252" vmaf="97.673582"
frameNum="254" vmaf="97.641542"
frameNum="256" vmaf="97.629043"
frameNum="258" vmaf="97.622288"
frameNum="260" vmaf="97.562585"
frameNum="262" vmaf="97.554124"
frameNum="264" vmaf="97.532454"
frameNum="266" vmaf="97.503187"
frameNum="268" vmaf="97.725845"
frameNum="270" vmaf="97.547647"
frameNum="272" vmaf="97.559235"
frameNum="274" vmaf="97.513807"
frameNum="276" vmaf="97.542830"
frameNum="278" vmaf="97.552029"
frameNum="280" vmaf="97.519941"
frameNum="282" vmaf="97.505793"
frameNum="284" vmaf="97.526336"
frameNum="286" vmaf="97.527929"
frameNum="288" vmaf="97.584325"
frameNum="290" vmaf="97.582967"
frameNum="292" vmaf="97.555240"
frameNum="294" vmaf="97.547415"
frameNum="296" vmaf="97.618596"
frameNum="298" vmaf="97.712778"
