frameNum="0" vmaf="95.835189"
frameNum="20" vmaf="99.753916"
frameNum="40" vmaf="87.436748"
frameNum="60" vmaf="88.355667"
frameNum="80" vmaf="83.657345"
frameNum="100" vmaf="86.573934"
frameNum="120" vmaf="87.836409"
frameNum="140" vmaf="85.788663"
frameNum="160" vmaf="81.406446"
frameNum="180" vmaf="74.425512"
frameNum="200" vmaf="71.680958"
frameNum="220" vmaf="80.470677"
frameNum="240" vmaf="74.022658"
frameNum="260" vmaf="70.520492"
frameNum="280" vmaf="69.745940"
frameNum="300" vmaf="73.552722"
frameNum="320" vmaf="61.434527"
frameNum="340" vmaf="68.908348"
frameNum="360" vmaf="66.843601"
frameNum="380" vmaf="65.254724"
