frameNum="0" vmaf="96.153727"
frameNum="30" vmaf="95.632209"
frameNum="60" vmaf="95.819101"
frameNum="90" vmaf="95.870243"
frameNum="120" vmaf="96.437099"
frameNum="150" vmaf="95.988480"
frameNum="180" vmaf="96.115720"
frameNum="210" vmaf="96.411133"
frameNum="240" vmaf="95.910584"
frameNum="270" vmaf="96.170296"
frameNum="300" vmaf="96.314200"
frameNum="330" vmaf="96.009307"
frameNum="360" vmaf="95.977039"
frameNum="390" vmaf="95.465351"
frameNum="420" vmaf="96.229537"
frameNum="450" vmaf="95.304486"
frameNum="480" vmaf="95.453961"
frameNum="510" vmaf="95.549551"
frameNum="540" vmaf="95.595729"
frameNum="570" vmaf="94.558784"
