frameNum="0" vmaf="95.797609"
frameNum="5" vmaf="93.260999"
frameNum="10" vmaf="89.210100"
frameNum="15" vmaf="88.080584"
frameNum="20" vmaf="87.663704"
frameNum="25" vmaf="87.881665"
frameNum="30" vmaf="84.684335"
frameNum="35" vmaf="84.960735"
frameNum="40" vmaf="84.362426"
frameNum="45" vmaf="84.898830"
frameNum="50" vmaf="84.269259"
frameNum="55" vmaf="83.579320"
frameNum="60" vmaf="84.070422"
frameNum="65" vmaf="83.466858"
frameNum="70" vmaf="84.555409"
frameNum="75" vmaf="82.872382"
frameNum="80" vmaf="84.244143"
frameNum="85" vmaf="83.474674"
frameNum="90" vmaf="83.097971"
frameNum="95" vmaf="82.672364"
frameNum="100" vmaf="83.021406"
frameNum="105" vmaf="84.447538"
frameNum="110" vmaf="82.684043"
frameNum="115" vmaf="82.933231"
frameNum="120" vmaf="82.700653"
frameNum="125" vmaf="82.893385"
frameNum="130" vmaf="83.631684"
frameNum="135" vmaf="82.920095"
frameNum="140" vmaf="83.659326"
frameNum="145" vmaf="82.756765"
frameNum="150" vmaf="82.663811"
frameNum="155" vmaf="83.723117"
frameNum="160" vmaf="83.220458"
frameNum="165" vmaf="82.369845"
frameNum="170" vmaf="85.255505"
frameNum="175" vmaf="83.149654"
frameNum="180" vmaf="82.485804"
frameNum="185" vmaf="82.913877"
frameNum="190" vmaf="82.424203"
frameNum="195" vmaf="83.339319"
frameNum="200" vmaf="82.691579"
frameNum="205" vmaf="83.511435"
frameNum="210" vmaf="83.792055"
frameNum="215" vmaf="83.496283"
frameNum="220" vmaf="83.391429"
frameNum="225" vmaf="83.656122"
frameNum="230" vmaf="84.208571"
frameNum="235" vmaf="84.157945"
frameNum="240" vmaf="83.967553"
frameNum="245" vmaf="83.498650"
frameNum="250" vmaf="95.751117"
frameNum="255" vmaf="86.175243"
frameNum="260" vmaf="85.588110"
frameNum="265" vmaf="85.707460"
frameNum="270" vmaf="86.219320"
frameNum="275" vmaf="85.427108"
frameNum="280" vmaf="84.722538"
frameNum="285" vmaf="84.963933"
frameNum="290" vmaf="84.953018"
frameNum="295" vmaf="84.859616"
frameNum="300" vmaf="84.496038"
frameNum="305" vmaf="85.355769"
frameNum="310" vmaf="86.734010"
frameNum="315" vmaf="88.157537"
frameNum="320" vmaf="88.324643"
frameNum="325" vmaf="86.842610"
frameNum="330" vmaf="85.791843"
frameNum="335" vmaf="84.751692"
frameNum="340" vmaf="84.378374"
frameNum="345" vmaf="85.324008"
frameNum="350" vmaf="85.077169"
frameNum="355" vmaf="85.427279"
frameNum="360" vmaf="84.909243"
frameNum="365" vmaf="87.302495"
frameNum="370" vmaf="87.320613"
frameNum="375" vmaf="87.813408"
frameNum="380" vmaf="87.678285"
frameNum="385" vmaf="87.810037"
frameNum="390" vmaf="88.947891"
frameNum="395" vmaf="89.071420"
frameNum="400" vmaf="91.361075"
frameNum="405" vmaf="89.446173"
frameNum="410" vmaf="90.718813"
frameNum="415" vmaf="90.242679"
frameNum="420" vmaf="91.135950"
frameNum="425" vmaf="89.772510"
frameNum="430" vmaf="90.266753"
frameNum="435" vmaf="89.791401"
frameNum="440" vmaf="90.280967"
frameNum="445" vmaf="90.309260"
frameNum="450" vmaf="91.135460"
frameNum="455" vmaf="88.936392"
frameNum="460" vmaf="88.970371"
frameNum="465" vmaf="91.408604"
frameNum="470" vmaf="86.426334"
frameNum="475" vmaf="87.550730"
frameNum="480" vmaf="86.352278"
frameNum="485" vmaf="88.053898"
frameNum="490" vmaf="86.855895"
frameNum="495" vmaf="87.169934"
