frameNum="0" vmaf="96.708058"
frameNum="5" vmaf="100.000000"
frameNum="10" vmaf="100.000000"
frameNum="15" vmaf="98.386616"
frameNum="20" vmaf="98.521835"
frameNum="25" vmaf="100.000000"
frameNum="30" vmaf="99.442178"
frameNum="35" vmaf="100.000000"
frameNum="40" vmaf="96.490207"
frameNum="45" vmaf="97.733680"
frameNum="50" vmaf="97.914403"
frameNum="55" vmaf="99.823653"
frameNum="60" vmaf="97.154542"
frameNum="65" vmaf="97.859478"
frameNum="70" vmaf="97.937447"
frameNum="75" vmaf="97.731373"
frameNum="80" vmaf="98.562432"
frameNum="85" vmaf="98.926726"
frameNum="90" vmaf="98.439505"
frameNum="95" vmaf="100.000000"
frameNum="100" vmaf="99.065952"
frameNum="105" vmaf="100.000000"
frameNum="110" vmaf="100.000000"
frameNum="115" vmaf="100.000000"
frameNum="120" vmaf="100.000000"
frameNum="125" vmaf="100.000000"
frameNum="130" vmaf="100.000000"
frameNum="135" vmaf="100.000000"
frameNum="140" vmaf="100.000000"
frameNum="145" vmaf="100.000000"
frameNum="150" vmaf="100.000000"
frameNum="155" vmaf="100.000000"
frameNum="160" vmaf="100.000000"
frameNum="165" vmaf="100.000000"
frameNum="170" vmaf="100.000000"
frameNum="175" vmaf="100.000000"
frameNum="180" vmaf="100.000000"
frameNum="185" vmaf="100.000000"
frameNum="190" vmaf="100.000000"
frameNum="195" vmaf="100.000000"
frameNum="200" vmaf="92.442162"
frameNum="205" vmaf="93.292089"
frameNum="210" vmaf="94.825864"
frameNum="215" vmaf="94.755471"
frameNum="220" vmaf="94.896531"
frameNum="225" vmaf="94.837300"
frameNum="230" vmaf="94.766348"
frameNum="235" vmaf="95.450998"
frameNum="240" vmaf="94.809125"
frameNum="245" vmaf="94.874270"
