frameNum="0" vmaf="96.630478"
frameNum="5" vmaf="100.000000"
frameNum="10" vmaf="91.289212"
frameNum="15" vmaf="86.269964"
frameNum="20" vmaf="86.643165"
frameNum="25" vmaf="87.363446"
frameNum="30" vmaf="84.494812"
frameNum="35" vmaf="84.180082"
frameNum="40" vmaf="90.533979"
frameNum="45" vmaf="87.880577"
frameNum="50" vmaf="88.333882"
frameNum="55" vmaf="87.409321"
frameNum="60" vmaf="83.078434"
frameNum="65" vmaf="87.240116"
frameNum="70" vmaf="84.570817"
frameNum="75" vmaf="87.318468"
frameNum="80" vmaf="87.573790"
frameNum="85" vmaf="84.826505"
frameNum="90" vmaf="82.298106"
frameNum="95" vmaf="82.754435"
frameNum="100" vmaf="99.777824"
frameNum="105" vmaf="95.447735"
frameNum="110" vmaf="88.136757"
frameNum="115" vmaf="87.667013"
frameNum="120" vmaf="90.175557"
frameNum="125" vmaf="88.945977"
frameNum="130" vmaf="92.274580"
frameNum="135" vmaf="89.139292"
frameNum="140" vmaf="92.104022"
frameNum="145" vmaf="95.250311"
frameNum="150" vmaf="94.618211"
frameNum="155" vmaf="93.356053"
frameNum="160" vmaf="89.564241"
frameNum="165" vmaf="89.789009"
frameNum="170" vmaf="89.647622"
frameNum="175" vmaf="93.076904"
frameNum="180" vmaf="96.049245"
frameNum="185" vmaf="93.568476"
frameNum="190" vmaf="97.038883"
frameNum="195" vmaf="93.337409"
frameNum="200" vmaf="90.540690"
frameNum="205" vmaf="88.409133"
frameNum="210" vmaf="87.079818"
frameNum="215" vmaf="90.126232"
frameNum="220" vmaf="94.598116"
frameNum="225" vmaf="91.586243"
frameNum="230" vmaf="84.944201"
frameNum="235" vmaf="89.008826"
frameNum="240" vmaf="83.166620"
frameNum="245" vmaf="89.014439"
frameNum="250" vmaf="98.366726"
frameNum="255" vmaf="92.625718"
frameNum="260" vmaf="93.200386"
frameNum="265" vmaf="88.296872"
frameNum="270" vmaf="89.553170"
frameNum="275" vmaf="81.490222"
frameNum="280" vmaf="80.177479"
frameNum="285" vmaf="84.352066"
frameNum="290" vmaf="88.414133"
frameNum="295" vmaf="89.652567"
