frameNum="0" vmaf="95.483131"
frameNum="5" vmaf="90.191722"
frameNum="10" vmaf="84.954024"
frameNum="15" vmaf="81.410964"
frameNum="20" vmaf="80.105287"
frameNum="25" vmaf="80.066282"
frameNum="30" vmaf="80.226187"
frameNum="35" vmaf="81.388676"
frameNum="40" vmaf="80.611809"
frameNum="45" vmaf="81.435907"
frameNum="50" vmaf="94.908665"
frameNum="55" vmaf="94.074516"
frameNum="60" vmaf="90.645885"
frameNum="65" vmaf="93.464788"
frameNum="70" vmaf="94.962499"
frameNum="75" vmaf="90.682432"
frameNum="80" vmaf="93.830205"
frameNum="85" vmaf="96.675265"
frameNum="90" vmaf="93.531807"
frameNum="95" vmaf="96.424019"
frameNum="100" vmaf="93.110575"
frameNum="105" vmaf="93.533651"
frameNum="110" vmaf="94.776585"
frameNum="115" vmaf="96.043305"
frameNum="120" vmaf="94.457624"
frameNum="125" vmaf="91.313696"
frameNum="130" vmaf="89.588848"
frameNum="135" vmaf="93.441016"
frameNum="140" vmaf="86.661935"
frameNum="145" vmaf="87.461563"
frameNum="150" vmaf="85.577774"
frameNum="155" vmaf="86.333698"
frameNum="160" vmaf="92.677661"
frameNum="165" vmaf="86.623171"
frameNum="170" vmaf="90.661563"
frameNum="175" vmaf="82.866201"
frameNum="180" vmaf="83.909231"
frameNum="185" vmaf="89.724889"
frameNum="190" vmaf="86.938197"
frameNum="195" vmaf="91.754777"
frameNum="200" vmaf="94.219599"
frameNum="205" vmaf="93.520928"
frameNum="210" vmaf="94.244128"
frameNum="215" vmaf="94.183023"
frameNum="220" vmaf="94.440501"
frameNum="225" vmaf="94.257739"
frameNum="230" vmaf="94.410439"
frameNum="235" vmaf="94.786621"
frameNum="240" vmaf="100.000000"
frameNum="245" vmaf="93.296044"
