frameNum="0" vmaf="96.707082"
frameNum="5" vmaf="99.970713"
frameNum="10" vmaf="98.302684"
frameNum="15" vmaf="99.204226"
frameNum="20" vmaf="100.000000"
frameNum="25" vmaf="97.727965"
frameNum="30" vmaf="97.895888"
frameNum="35" vmaf="97.469555"
frameNum="40" vmaf="98.277117"
frameNum="45" vmaf="97.625098"
frameNum="50" vmaf="97.848157"
frameNum="55" vmaf="98.156565"
frameNum="60" vmaf="98.559813"
frameNum="65" vmaf="98.771423"
frameNum="70" vmaf="96.940048"
frameNum="75" vmaf="99.294398"
frameNum="80" vmaf="98.951459"
frameNum="85" vmaf="98.306088"
frameNum="90" vmaf="100.000000"
frameNum="95" vmaf="98.104827"
frameNum="100" vmaf="99.315700"
frameNum="105" vmaf="97.337601"
frameNum="110" vmaf="100.000000"
frameNum="115" vmaf="96.510853"
frameNum="120" vmaf="100.000000"
frameNum="125" vmaf="96.244332"
frameNum="130" vmaf="100.000000"
frameNum="135" vmaf="97.877090"
frameNum="140" vmaf="100.000000"
frameNum="145" vmaf="100.000000"
frameNum="150" vmaf="97.813622"
frameNum="155" vmaf="98.528199"
frameNum="160" vmaf="100.000000"
frameNum="165" vmaf="100.000000"
frameNum="170" vmaf="98.450145"
frameNum="175" vmaf="98.130696"
frameNum="180" vmaf="99.570787"
frameNum="185" vmaf="100.000000"
frameNum="190" vmaf="99.359107"
frameNum="195" vmaf="99.671758"
frameNum="200" vmaf="98.604846"
frameNum="205" vmaf="97.749432"
frameNum="210" vmaf="97.481452"
frameNum="215" vmaf="97.314570"
frameNum="220" vmaf="97.156283"
frameNum="225" vmaf="97.535667"
frameNum="230" vmaf="97.335141"
frameNum="235" vmaf="97.497161"
frameNum="240" vmaf="97.495286"
frameNum="245" vmaf="97.400444"
frameNum="250" vmaf="97.137416"
frameNum="255" vmaf="97.603401"
frameNum="260" vmaf="100.000000"
frameNum="265" vmaf="100.000000"
frameNum="270" vmaf="100.000000"
frameNum="275" vmaf="100.000000"
frameNum="280" vmaf="99.535432"
frameNum="285" vmaf="98.421944"
frameNum="290" vmaf="98.679626"
frameNum="295" vmaf="98.304848"
