frameNum="0" vmaf="96.588278"
frameNum="5" vmaf="100.000000"
frameNum="10" vmaf="98.877666"
frameNum="15" vmaf="98.076030"
frameNum="20" vmaf="97.626535"
frameNum="25" vmaf="98.003363"
frameNum="30" vmaf="100.000000"
frameNum="35" vmaf="100.000000"
frameNum="40" vmaf="98.741510"
frameNum="45" vmaf="100.000000"
frameNum="50" vmaf="97.166868"
frameNum="55" vmaf="100.000000"
frameNum="60" vmaf="99.725733"
frameNum="65" vmaf="99.992729"
frameNum="70" vmaf="95.064523"
frameNum="75" vmaf="96.747029"
frameNum="80" vmaf="97.730043"
frameNum="85" vmaf="97.655420"
frameNum="90" vmaf="98.985626"
frameNum="95" vmaf="96.396637"
frameNum="100" vmaf="100.000000"
frameNum="105" vmaf="96.875431"
frameNum="110" vmaf="100.000000"
frameNum="115" vmaf="98.794077"
frameNum="120" vmaf="96.291976"
frameNum="125" vmaf="100.000000"
frameNum="130" vmaf="99.466488"
frameNum="135" vmaf="100.000000"
frameNum="140" vmaf="99.243853"
frameNum="145" vmaf="100.000000"
frameNum="150" vmaf="100.000000"
frameNum="155" vmaf="100.000000"
frameNum="160" vmaf="100.000000"
frameNum="165" vmaf="96.860158"
frameNum="170" vmaf="100.000000"
frameNum="175" vmaf="100.000000"
frameNum="180" vmaf="97.827458"
frameNum="185" vmaf="96.211761"
frameNum="190" vmaf="95.567929"
frameNum="195" vmaf="97.555525"
frameNum="200" vmaf="100.000000"
frameNum="205" vmaf="89.262365"
frameNum="210" vmaf="85.943026"
frameNum="215" vmaf="80.586026"
frameNum="220" vmaf="78.836750"
frameNum="225" vmaf="76.826133"
frameNum="230" vmaf="80.724692"
frameNum="235" vmaf="75.827240"
frameNum="240" vmaf="77.839051"
frameNum="245" vmaf="77.575019"
frameNum="250" vmaf="83.418550"
frameNum="255" vmaf="78.613375"
frameNum="260" vmaf="74.331237"
frameNum="265" vmaf="72.381707"
frameNum="270" vmaf="73.809085"
frameNum="275" vmaf="68.764675"
frameNum="280" vmaf="69.427052"
frameNum="285" vmaf="70.785610"
frameNum="290" vmaf="65.486286"
frameNum="295" vmaf="65.944770"
