frameNum="0" vmaf="96.250456"
frameNum="5" vmaf="95.865650"
frameNum="10" vmaf="80.276519"
frameNum="15" vmaf="68.881505"
frameNum="20" vmaf="62.094407"
frameNum="25" vmaf="59.827050"
frameNum="30" vmaf="60.777603"
frameNum="35" vmaf="59.743674"
frameNum="40" vmaf="60.555971"
frameNum="45" vmaf="65.223274"
frameNum="50" vmaf="64.801991"
frameNum="55" vmaf="65.787081"
frameNum="60" vmaf="69.570319"
frameNum="65" vmaf="66.616858"
frameNum="70" vmaf="67.709926"
frameNum="75" vmaf="66.517981"
frameNum="80" vmaf="68.875837"
frameNum="85" vmaf="73.880737"
frameNum="90" vmaf="75.618843"
frameNum="95" vmaf="75.019988"
frameNum="100" vmaf="75.484683"
frameNum="105" vmaf="78.907910"
frameNum="110" vmaf="77.314918"
frameNum="115" vmaf="76.419510"
frameNum="120" vmaf="74.617474"
frameNum="125" vmaf="77.139191"
frameNum="130" vmaf="76.702305"
frameNum="135" vmaf="74.689426"
frameNum="140" vmaf="75.562489"
frameNum="145" vmaf="78.107049"
frameNum="150" vmaf="80.252633"
frameNum="155" vmaf="83.542256"
frameNum="160" vmaf="85.527150"
frameNum="165" vmaf="89.281494"
frameNum="170" vmaf="91.937208"
frameNum="175" vmaf="95.547318"
frameNum="180" vmaf="93.486863"
frameNum="185" vmaf="98.834695"
frameNum="190" vmaf="94.200083"
frameNum="195" vmaf="95.217902"
frameNum="200" vmaf="93.816918"
frameNum="205" vmaf="95.777223"
frameNum="210" vmaf="97.335185"
frameNum="215" vmaf="93.107846"
frameNum="220" vmaf="94.058457"
frameNum="225" vmaf="96.522676"
frameNum="230" vmaf="93.657703"
frameNum="235" vmaf="89.817703"
frameNum="240" vmaf="95.710245"
frameNum="245" vmaf="97.033231"
