frameNum="0" vmaf="95.853394"
frameNum="5" vmaf="98.244561"
frameNum="10" vmaf="98.476215"
frameNum="15" vmaf="98.975787"
frameNum="20" vmaf="98.883006"
frameNum="25" vmaf="98.743510"
frameNum="30" vmaf="98.766636"
frameNum="35" vmaf="98.391869"
frameNum="40" vmaf="98.042391"
frameNum="45" vmaf="97.861465"
frameNum="50" vmaf="97.854264"
frameNum="55" vmaf="97.835238"
frameNum="60" vmaf="97.449994"
frameNum="65" vmaf="97.776500"
frameNum="70" vmaf="97.244339"
frameNum="75" vmaf="97.140300"
frameNum="80" vmaf="97.628211"
frameNum="85" vmaf="97.543858"
frameNum="90" vmaf="97.674137"
frameNum="95" vmaf="97.063821"
frameNum="100" vmaf="96.480186"
frameNum="105" vmaf="96.860321"
frameNum="110" vmaf="97.137295"
frameNum="115" vmaf="97.036054"
frameNum="120" vmaf="96.798212"
frameNum="125" vmaf="97.193393"
frameNum="130" vmaf="96.105545"
frameNum="135" vmaf="96.068448"
frameNum="140" vmaf="96.496978"
frameNum="145" vmaf="96.053799"
frameNum="150" vmaf="95.813482"
frameNum="155" vmaf="95.723170"
frameNum="160" vmaf="96.397245"
frameNum="165" vmaf="96.209817"
frameNum="170" vmaf="96.738521"
frameNum="175" vmaf="96.445713"
frameNum="180" vmaf="96.353807"
frameNum="185" vmaf="97.702027"
frameNum="190" vmaf="96.696685"
frameNum="195" vmaf="95.891498"
frameNum="200" vmaf="96.248247"
frameNum="205" vmaf="96.731726"
frameNum="210" vmaf="97.754616"
frameNum="215" vmaf="97.524610"
frameNum="220" vmaf="98.081917"
frameNum="225" vmaf="97.764452"
frameNum="230" vmaf="97.486811"
frameNum="235" vmaf="97.967094"
frameNum="240" vmaf="97.945301"
frameNum="245" vmaf="98.895408"
frameNum="250" vmaf="98.756526"
frameNum="255" vmaf="99.312471"
frameNum="260" vmaf="99.165212"
frameNum="265" vmaf="98.673039"
frameNum="270" vmaf="99.076206"
frameNum="275" vmaf="98.226689"
frameNum="280" vmaf="97.412905"
frameNum="285" vmaf="98.195171"
frameNum="290" vmaf="96.242593"
frameNum="295" vmaf="96.739549"
frameNum="300" vmaf="96.665142"
frameNum="305" vmaf="96.913725"
frameNum="310" vmaf="96.800941"
frameNum="315" vmaf="96.994434"
frameNum="320" vmaf="97.157865"
frameNum="325" vmaf="97.205321"
frameNum="330" vmaf="96.973478"
frameNum="335" vmaf="97.088098"
frameNum="340" vmaf="97.349962"
frameNum="345" vmaf="97.040862"
frameNum="350" vmaf="96.875404"
frameNum="355" vmaf="97.230896"
frameNum="360" vmaf="97.207823"
frameNum="365" vmaf="96.897714"
frameNum="370" vmaf="97.399518"
frameNum="375" vmaf="97.233168"
frameNum="380" vmaf="97.073065"
frameNum="385" vmaf="97.150365"
frameNum="390" vmaf="96.829668"
frameNum="395" vmaf="96.945476"
frameNum="400" vmaf="96.826539"
frameNum="405" vmaf="96.980223"
frameNum="410" vmaf="97.038076"
frameNum="415" vmaf="97.050491"
frameNum="420" vmaf="97.080149"
frameNum="425" vmaf="97.246661"
frameNum="430" vmaf="97.308941"
frameNum="435" vmaf="97.244684"
frameNum="440" vmaf="97.073396"
frameNum="445" vmaf="97.217477"
frameNum="450" vmaf="97.314750"
frameNum="455" vmaf="97.037296"
frameNum="460" vmaf="97.098864"
frameNum="465" vmaf="96.992783"
frameNum="470" vmaf="96.908987"
frameNum="475" vmaf="96.899781"
frameNum="480" vmaf="96.976954"
frameNum="485" vmaf="98.965853"
frameNum="490" vmaf="100.000000"
frameNum="495" vmaf="100.000000"
frameNum="500" vmaf="99.620725"
frameNum="505" vmaf="99.051578"
frameNum="510" vmaf="99.118159"
frameNum="515" vmaf="99.468599"
frameNum="520" vmaf="99.270245"
frameNum="525" vmaf="99.599244"
frameNum="530" vmaf="99.409012"
frameNum="535" vmaf="99.715409"
frameNum="540" vmaf="99.370371"
frameNum="545" vmaf="99.098484"
frameNum="550" vmaf="99.828111"
frameNum="555" vmaf="100.000000"
frameNum="560" vmaf="99.595347"
frameNum="565" vmaf="99.379646"
frameNum="570" vmaf="99.718716"
frameNum="575" vmaf="99.923025"
frameNum="580" vmaf="100.000000"
frameNum="585" vmaf="99.614343"
frameNum="590" vmaf="99.737146"
frameNum="595" vmaf="98.453123"
