frameNum="0" vmaf="95.711079"
frameNum="50" vmaf="90.381695"
frameNum="100" vmaf="89.925051"
frameNum="150" vmaf="90.182826"
frameNum="200" vmaf="91.619302"
frameNum="250" vmaf="94.640960"
frameNum="300" vmaf="89.751082"
frameNum="350" vmaf="90.320655"
frameNum="400" vmaf="91.120719"
frameNum="450" vmaf="90.474728"
frameNum="500" vmaf="93.991139"
frameNum="550" vmaf="90.163900"
frameNum="600" vmaf="90.381230"
frameNum="650" vmaf="90.294811"
frameNum="700" vmaf="89.934978"
frameNum="750" vmaf="90.959390"
frameNum="800" vmaf="86.069222"
frameNum="850" vmaf="86.245731"
